[04:32:02] [main/INFO]: Setting user: BogdanG
[04:32:11] [Client thread/INFO]: LWJGL Version: 2.9.4
[04:33:09] [Client thread/INFO]: Reloading ResourceManager: Default, FMLFileResourcePack:Forge Mod Loader, FMLFileResourcePack:Minecraft Forge, FMLFileResourcePack:Not Enough Items, FMLFileResourcePack:Treecapitator, FMLFileResourcePack:Aether II, FMLFileResourcePack:AnimationAPI, FMLFileResourcePack:Antique Atlas, FMLFileResourcePack:AdventOfAscension, FMLFileResourcePack:Applied Energistics 2, FMLFileResourcePack:Backpack, FMLFileResourcePack:Better Foliage, FMLFileResourcePack:BiblioCraft, FMLFileResourcePack:BiblioWoods Forestry Edition, FMLFileResourcePack:Botany, FMLFileResourcePack:Binnie Core, FMLFileResourcePack:Extra Bees, FMLFileResourcePack:Extra Trees, FMLFileResourcePack:Genetics, FMLFileResourcePack:Biomes O' Plenty, FMLFileResourcePack:Blood Magic: Alchemical Wizardry, FMLFileResourcePack:Blue Power, FMLFileResourcePack:Botania, FMLFileResourcePack:BC Builders, FMLFileResourcePack:BC Energy, FMLFileResourcePack:BC Factory, FMLFileResourcePack:BC Silicon, FMLFileResourcePack:BuildCraft, FMLFileResourcePack:BC Transport, FMLFileResourcePack:Carpenter's Blocks, FMLFileResourcePack:ChickenChunks, FMLFileResourcePack:Chisel 2, FMLFileResourcePack:ComputerCraft, FMLFileResourcePack:Build Mod, FMLFileResourcePack:CoroPets, FMLFileResourcePack:CoroAI, FMLFileResourcePack:Extended Renderer, FMLFileResourcePack:Extended Mod Config, FMLFileResourcePack:CraftHeraldry, FMLFileResourcePack:DragonAPI, FMLFileResourcePack:DrZhark's Mo'Creatures Mod, FMLFileResourcePack:Enchanting Plus, FMLFileResourcePack:EvilCraft, FMLFileResourcePack:Extended Potions, FMLFileResourcePack:ExtrabiomesXL, FMLFileResourcePack:Extra Utilities, FMLFileResourcePack:Forestry for Minecraft, FMLFileResourcePack:GeoStrata, FMLFileResourcePack:Gilded Games Utility, FMLFileResourcePack:GraveStone, FMLFileResourcePack:GregTech, FMLFileResourcePack:Hardcore Darkness, FMLFileResourcePack:IndustrialCraft 2, FMLFileResourcePack:Inventory Tweaks, FMLFileResourcePack:Iron Chest, FMLFileResourcePack:Lycanites Mobs, FMLFileResourcePack:Lycanites Freshwater Mobs, FMLFileResourcePack:Lycanites Demon Mobs, FMLFileResourcePack:Lycanites Desert Mobs, FMLFileResourcePack:Lycanites Mountain Mobs, FMLFileResourcePack:Lycanites Jungle Mobs, FMLFileResourcePack:Lycanites Swamp Mobs, FMLFileResourcePack:Lycanites Shadow Mobs, FMLFileResourcePack:Lycanites Inferno Mobs, FMLFileResourcePack:Lycanites Saltwater Mobs, FMLFileResourcePack:Lycanites Forest Mobs, FMLFileResourcePack:Lycanites Plains Mobs, FMLFileResourcePack:Lycanites Arctic Mobs, FMLFileResourcePack:Magic Bees, FMLFileResourcePack:Magic Crusade, FMLFileResourcePack:Mantle, FMLFileResourcePack:§9MrCrayfish's Furniture Mod, FMLFileResourcePack:Mystcraft, FMLFileResourcePack:Natura, FMLFileResourcePack:Nature Overhaul, FMLFileResourcePack:NEI Addons, FMLFileResourcePack:NEI Addons: Applied Energistics 2, FMLFileResourcePack:NEI Addons: Botany, FMLFileResourcePack:NEI Addons: Forestry, FMLFileResourcePack:NEI Addons: Crafting Tables, FMLFileResourcePack:NEI Addons: Ex Nihilo, FMLFileResourcePack:NEI Integration, FMLFileResourcePack:NoMoreRecipeConflict, FMLFileResourcePack:Not Enough Resources, FMLFileResourcePack:Oceancraft, FMLFileResourcePack:Pam's Clay Spawn, FMLFileResourcePack:Pam's DesertCraft, FMLFileResourcePack:Pam's HarvestCraft, FMLFileResourcePack:Pam's Temperate Plants, FMLFileResourcePack:Pam's Weee! Flowers, FMLFileResourcePack:Power Converters, FMLFileResourcePack:Primitive Mobs, FMLFileResourcePack:QmunityLib, FMLFileResourcePack:Random Things, FMLFileResourcePack:Special AI, FMLFileResourcePack:Special Mobs, FMLFileResourcePack:Steve's Carts 2, FMLFileResourcePack:Tropicraft, FMLFileResourcePack:The Twilight Forest, FMLFileResourcePack:Underground Biomes Constructs, FMLFileResourcePack:vChat, FMLFileResourcePack:Waila, FMLFileResourcePack:What Are We Looking At, FMLFileResourcePack:weather2, FMLFileResourcePack:Witchery, FMLFileResourcePack:Ye Gamol Chattels, FMLFileResourcePack:Ztones, FMLFileResourcePack:bspkrsCore, FMLFileResourcePack:Baubles, FMLFileResourcePack:Forge Microblocks, FMLFileResourcePack:Forge Multipart, FMLFileResourcePack:Minecraft Multipart Plugin, ChromaHills-128x_1.7v11.zip
[04:33:09] [Client thread/WARN]: ResourcePack: ignored non-lowercase namespace: alchemicalwizardryBooks in D:\nmine\mods\BloodMagic-1.7.10-1.3.3-4.jar
[04:33:09] [Client thread/WARN]: ResourcePack: ignored non-lowercase namespace: alchemicalwizardryBooks in D:\nmine\mods\BloodMagic-1.7.10-1.3.3-4.jar
[04:33:09] [Client thread/WARN]: ResourcePack: ignored non-lowercase namespace: alchemicalwizardryBooks in D:\nmine\mods\BloodMagic-1.7.10-1.3.3-4.jar
[04:33:09] [Client thread/WARN]: ResourcePack: ignored non-lowercase namespace: alchemicalwizardryBooks in D:\nmine\mods\BloodMagic-1.7.10-1.3.3-4.jar
[04:33:09] [Client thread/WARN]: ResourcePack: ignored non-lowercase namespace: alchemicalwizardryBooks in D:\nmine\mods\BloodMagic-1.7.10-1.3.3-4.jar
[04:33:09] [Client thread/WARN]: ResourcePack: ignored non-lowercase namespace: alchemicalwizardryBooks in D:\nmine\mods\BloodMagic-1.7.10-1.3.3-4.jar
[04:33:09] [Client thread/WARN]: ResourcePack: ignored non-lowercase namespace: alchemicalwizardryBooks in D:\nmine\mods\magicbees-1.7.10-2.3.1.jar
[04:33:09] [Client thread/WARN]: ResourcePack: ignored non-lowercase namespace: alchemicalwizardryBooks in D:\nmine\mods\magicbees-1.7.10-2.3.1.jar
[04:34:40] [Sound Library Loader/INFO]: Sound engine started
[04:34:40] [Client thread/WARN]: File nevermine:sounds/AuguryTransfer.ogg does not exist, cannot add it to event nevermine:AuguryTransfer
[04:34:59] [Client thread/ERROR]: Using missing texture, unable to load gregtech:textures/items/gt.metaitem.01/620.png, java.io.FileNotFoundException
[04:34:59] [Client thread/ERROR]: Using missing texture, unable to load gregtech:textures/items/gt.metaitem.01/623.png, java.io.FileNotFoundException
[04:34:59] [Client thread/ERROR]: Using missing texture, unable to load gregtech:textures/items/gt.metaitem.01/622.png, java.io.FileNotFoundException
[04:34:59] [Client thread/ERROR]: Using missing texture, unable to load gregtech:textures/items/gt.metaitem.01/624.png, java.io.FileNotFoundException
[04:35:00] [Client thread/ERROR]: Using missing texture, unable to load extrabees:textures/items/misc/blutoniumDust.png, java.io.FileNotFoundException
[04:35:00] [Client thread/ERROR]: Using missing texture, unable to load chisel:textures/items/upgrade_reversion.png, java.io.FileNotFoundException
[04:35:00] [Client thread/ERROR]: Using missing texture, unable to load missing_icon_item_6467_extrautils:textures/items/lawSword.png, java.io.FileNotFoundException
[04:35:00] [Client thread/INFO]: Created: 4096x2048 textures/items-atlas
[04:40:04] [Client thread/INFO]: Reloading ResourceManager: Default, FMLFileResourcePack:Forge Mod Loader, FMLFileResourcePack:Minecraft Forge, FMLFileResourcePack:Not Enough Items, FMLFileResourcePack:Treecapitator, FMLFileResourcePack:Aether II, FMLFileResourcePack:AnimationAPI, FMLFileResourcePack:Antique Atlas, FMLFileResourcePack:AdventOfAscension, FMLFileResourcePack:Applied Energistics 2, FMLFileResourcePack:Backpack, FMLFileResourcePack:Better Foliage, FMLFileResourcePack:BiblioCraft, FMLFileResourcePack:BiblioWoods Forestry Edition, FMLFileResourcePack:Botany, FMLFileResourcePack:Binnie Core, FMLFileResourcePack:Extra Bees, FMLFileResourcePack:Extra Trees, FMLFileResourcePack:Genetics, FMLFileResourcePack:Biomes O' Plenty, FMLFileResourcePack:Blood Magic: Alchemical Wizardry, FMLFileResourcePack:Blue Power, FMLFileResourcePack:Botania, FMLFileResourcePack:BC Builders, FMLFileResourcePack:BC Energy, FMLFileResourcePack:BC Factory, FMLFileResourcePack:BC Silicon, FMLFileResourcePack:BuildCraft, FMLFileResourcePack:BC Transport, FMLFileResourcePack:Carpenter's Blocks, FMLFileResourcePack:ChickenChunks, FMLFileResourcePack:Chisel 2, FMLFileResourcePack:ComputerCraft, FMLFileResourcePack:Build Mod, FMLFileResourcePack:CoroPets, FMLFileResourcePack:CoroAI, FMLFileResourcePack:Extended Renderer, FMLFileResourcePack:Extended Mod Config, FMLFileResourcePack:CraftHeraldry, FMLFileResourcePack:DragonAPI, FMLFileResourcePack:DrZhark's Mo'Creatures Mod, FMLFileResourcePack:Enchanting Plus, FMLFileResourcePack:EvilCraft, FMLFileResourcePack:Extended Potions, FMLFileResourcePack:ExtrabiomesXL, FMLFileResourcePack:Extra Utilities, FMLFileResourcePack:Forestry for Minecraft, FMLFileResourcePack:GeoStrata, FMLFileResourcePack:Gilded Games Utility, FMLFileResourcePack:GraveStone, FMLFileResourcePack:GregTech, FMLFileResourcePack:Hardcore Darkness, FMLFileResourcePack:IndustrialCraft 2, FMLFileResourcePack:Inventory Tweaks, FMLFileResourcePack:Iron Chest, FMLFileResourcePack:Lycanites Mobs, FMLFileResourcePack:Lycanites Freshwater Mobs, FMLFileResourcePack:Lycanites Demon Mobs, FMLFileResourcePack:Lycanites Desert Mobs, FMLFileResourcePack:Lycanites Mountain Mobs, FMLFileResourcePack:Lycanites Jungle Mobs, FMLFileResourcePack:Lycanites Swamp Mobs, FMLFileResourcePack:Lycanites Shadow Mobs, FMLFileResourcePack:Lycanites Inferno Mobs, FMLFileResourcePack:Lycanites Saltwater Mobs, FMLFileResourcePack:Lycanites Forest Mobs, FMLFileResourcePack:Lycanites Plains Mobs, FMLFileResourcePack:Lycanites Arctic Mobs, FMLFileResourcePack:Magic Bees, FMLFileResourcePack:Magic Crusade, FMLFileResourcePack:Mantle, FMLFileResourcePack:§9MrCrayfish's Furniture Mod, FMLFileResourcePack:Mystcraft, FMLFileResourcePack:Natura, FMLFileResourcePack:Nature Overhaul, FMLFileResourcePack:NEI Addons, FMLFileResourcePack:NEI Addons: Applied Energistics 2, FMLFileResourcePack:NEI Addons: Botany, FMLFileResourcePack:NEI Addons: Forestry, FMLFileResourcePack:NEI Addons: Crafting Tables, FMLFileResourcePack:NEI Addons: Ex Nihilo, FMLFileResourcePack:NEI Integration, FMLFileResourcePack:NoMoreRecipeConflict, FMLFileResourcePack:Not Enough Resources, FMLFileResourcePack:Oceancraft, FMLFileResourcePack:Pam's Clay Spawn, FMLFileResourcePack:Pam's DesertCraft, FMLFileResourcePack:Pam's HarvestCraft, FMLFileResourcePack:Pam's Temperate Plants, FMLFileResourcePack:Pam's Weee! Flowers, FMLFileResourcePack:Power Converters, FMLFileResourcePack:Primitive Mobs, FMLFileResourcePack:QmunityLib, FMLFileResourcePack:Random Things, FMLFileResourcePack:Special AI, FMLFileResourcePack:Special Mobs, FMLFileResourcePack:Steve's Carts 2, FMLFileResourcePack:Tropicraft, FMLFileResourcePack:The Twilight Forest, FMLFileResourcePack:Underground Biomes Constructs, FMLFileResourcePack:vChat, FMLFileResourcePack:Waila, FMLFileResourcePack:What Are We Looking At, FMLFileResourcePack:weather2, FMLFileResourcePack:Witchery, FMLFileResourcePack:Ye Gamol Chattels, FMLFileResourcePack:Ztones, FMLFileResourcePack:bspkrsCore, FMLFileResourcePack:Baubles, FMLFileResourcePack:Forge Microblocks, FMLFileResourcePack:Forge Multipart, FMLFileResourcePack:Minecraft Multipart Plugin, FMLFileResourcePack:Carpenter's Blocks Cached Resources, ChromaHills-128x_1.7v11.zip
[04:40:04] [Client thread/WARN]: ResourcePack: ignored non-lowercase namespace: alchemicalwizardryBooks in D:\nmine\mods\BloodMagic-1.7.10-1.3.3-4.jar
[04:40:04] [Client thread/WARN]: ResourcePack: ignored non-lowercase namespace: alchemicalwizardryBooks in D:\nmine\mods\BloodMagic-1.7.10-1.3.3-4.jar
[04:40:04] [Client thread/WARN]: ResourcePack: ignored non-lowercase namespace: alchemicalwizardryBooks in D:\nmine\mods\BloodMagic-1.7.10-1.3.3-4.jar
[04:40:04] [Client thread/WARN]: ResourcePack: ignored non-lowercase namespace: alchemicalwizardryBooks in D:\nmine\mods\BloodMagic-1.7.10-1.3.3-4.jar
[04:40:04] [Client thread/WARN]: ResourcePack: ignored non-lowercase namespace: alchemicalwizardryBooks in D:\nmine\mods\BloodMagic-1.7.10-1.3.3-4.jar
[04:40:04] [Client thread/WARN]: ResourcePack: ignored non-lowercase namespace: alchemicalwizardryBooks in D:\nmine\mods\BloodMagic-1.7.10-1.3.3-4.jar
[04:40:04] [Client thread/WARN]: ResourcePack: ignored non-lowercase namespace: alchemicalwizardryBooks in D:\nmine\mods\magicbees-1.7.10-2.3.1.jar
[04:40:04] [Client thread/WARN]: ResourcePack: ignored non-lowercase namespace: alchemicalwizardryBooks in D:\nmine\mods\magicbees-1.7.10-2.3.1.jar
[04:40:10] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/MISSING_ICON_BLOCK_1773_blockSpellEnhancement.png, java.io.FileNotFoundException
[04:40:11] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/MISSING_ICON_BLOCK_1775_blockSpellEffect.png, java.io.FileNotFoundException
[04:40:12] [Client thread/ERROR]: Using missing texture, unable to load geostrata:textures/blocks/connected/3_sec.png, java.io.FileNotFoundException
[04:40:12] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/null Emerald Ore.png, java.io.FileNotFoundException
[04:40:12] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/MISSING_ICON_BLOCK_2853_tile.metamorphicStone.png, java.io.FileNotFoundException
[04:40:12] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/MISSING_ICON_BLOCK_2861_null.png, java.io.FileNotFoundException
[04:40:13] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/MISSING_ICON_BLOCK_2867_null.png, java.io.FileNotFoundException
[04:40:13] [Client thread/ERROR]: Using missing texture, unable to load geostrata:textures/blocks/connected/7_sec.png, java.io.FileNotFoundException
[04:40:13] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/MISSING_ICON_BLOCK_1781_crystalBelljar.png, java.io.FileNotFoundException
[04:40:13] [Client thread/ERROR]: Using missing texture, unable to load geostrata:textures/blocks/connected/0_sec.png, java.io.FileNotFoundException
[04:40:13] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/MISSING_ICON_BLOCK_1353_bookshelf.png, java.io.FileNotFoundException
[04:40:14] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/null Redstone Ore.png, java.io.FileNotFoundException
[04:40:14] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/MISSING_ICON_BLOCK_1784_blockMimic.png, java.io.FileNotFoundException
[04:40:14] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/MISSING_ICON_BLOCK_3169_Slab.png, java.io.FileNotFoundException
[04:40:15] [Client thread/ERROR]: Using missing texture, unable to load extrautils:textures/blocks/enderQuarryUpgrade.png, java.io.FileNotFoundException
[04:40:15] [Client thread/ERROR]: Using missing texture, unable to load geostrata:textures/blocks/connected/4_sec.png, java.io.FileNotFoundException
